restaurant_link,restaurant_name,original_location,country,region,province,city,address,latitude,longitude,claimed,awards,popularity_detailed,popularity_generic,top_tags,price_level,price_range,meals,cuisines,special_diets,features,vegetarian_friendly,vegan_options,gluten_free,original_open_hours,open_days_per_week,open_hours_per_week,working_shifts_per_week,avg_rating,total_reviews_count,default_language,reviews_count_in_default_language,excellent,very_good,average,poor,terrible,food,service,value,atmosphere,keywords
g187309-d7347512,Segafredo Zanetti ValleUno,"[""Europe"", ""Germany"", ""Bavaria"", ""Upper Bavaria"", ""Munich""]",Germany,Bavaria,Upper Bavaria,Munich,"Tal 1, 80331 Munich, Bavaria Germany",48.1365,11.57788,Unclaimed,,#200 of 217 Coffee & Tea in Munich,#2970 of 3608 places to eat in Munich,"Mid-range, Cafe, Vegetarian Friendly",€€-€€€,,,Cafe,Vegetarian Friendly,"Seating, Table Service",Y,N,N,"{""Mon"": [], ""Tue"": [], ""Wed"": [], ""Thu"": [], ""Fri"": [], ""Sat"": [], ""Sun"": [""08:30-20:30""]}",1.0,12.0,1.0,3.0,34.0,English,10.0,1.0,2.0,1.0,0.0,6.0,3.5,3.5,3.0,,
g187309-d7349318,Pho - Flavour of Vietnam,"[""Europe"", ""Germany"", ""Bavaria"", ""Upper Bavaria"", ""Munich""]",Germany,Bavaria,Upper Bavaria,Munich,"Nymphenburger Str. 70, 80335 Munich, Bavaria Germany",48.14961,11.548245,Unclaimed,,#873 of 2846 Restaurants in Munich,#948 of 3608 places to eat in Munich,"Cheap Eats, Vietnamese, Vegetarian Friendly",€,,"Lunch, Dinner",Vietnamese,Vegetarian Friendly,,Y,N,N,,,,,4.0,44.0,English,14.0,7.0,3.0,3.0,1.0,0.0,4.0,4.0,4.5,,
g187309-d7350716,La Forchetta,"[""Europe"", ""Germany"", ""Bavaria"", ""Upper Bavaria"", ""Munich""]",Germany,Bavaria,Upper Bavaria,Munich,"Grete-Mosheim-Str. 15, 80636 Munich, Bavaria Germany",48.143143,11.545391,Unclaimed,,#1180 of 2846 Restaurants in Munich,#1296 of 3608 places to eat in Munich,"Mid-range, Italian, Pizza, Mediterranean",€€-€€€,,"Lunch, Dinner","Italian, Pizza, Mediterranean, European",Vegetarian Friendly,,Y,N,N,"{""Mon"": [""11:00-23:00""], ""Tue"": [""11:00-23:00""], ""Wed"": [""11:00-23:00""], ""Thu"": [""11:00-23:00""], ""Fri"": [""11:00-23:00""], ""Sat"": [""17:00-23:00""], ""Sun"": []}",6.0,66.0,6.0,4.0,62.0,English,20.0,8.0,7.0,2.0,2.0,1.0,4.0,3.5,3.5,,
g187309-d7355628,Sushi Sakura,"[""Europe"", ""Germany"", ""Bavaria"", ""Upper Bavaria"", ""Munich""]",Germany,Bavaria,Upper Bavaria,Munich,"Muellerstr. 33, 80469 Munich, Bavaria Germany",48.13084,11.56966,Unclaimed,,#1743 of 2846 Restaurants in Munich,#1940 of 3608 places to eat in Munich,"Mid-range, Japanese, Sushi",€€-€€€,,"Lunch, Dinner","Sushi, Japanese",,,N,N,N,"{""Mon"": [""11:00-21:00""], ""Tue"": [""11:00-21:00""], ""Wed"": [""11:00-21:00""], ""Thu"": [""11:00-21:00""], ""Fri"": [""11:00-21:00""], ""Sat"": [""11:00-21:00""], ""Sun"": []}",6.0,60.0,6.0,4.0,11.0,English,3.0,1.0,1.0,0.0,0.0,1.0,4.5,4.5,4.5,,
g187309-d7361612,Asiagourmet,"[""Europe"", ""Germany"", ""Bavaria"", ""Upper Bavaria"", ""Munich""]",Germany,Bavaria,Upper Bavaria,Munich,"Bayerstr. 10a, 80335 Munich, Bavaria Germany",48.140457,11.561111,Unclaimed,,#974 of 2846 Restaurants in Munich,#1064 of 3608 places to eat in Munich,"Cheap Eats, Fast food, Asian, Thai",€,,"Lunch, Dinner","Fast food, Asian, Thai","Vegetarian Friendly, Vegan Options",,Y,Y,N,"{""Mon"": [""10:00-22:00""], ""Tue"": [""10:00-22:00""], ""Wed"": [""10:00-22:00""], ""Thu"": [""10:00-22:00""], ""Fri"": [""10:00-22:00""], ""Sat"": [""10:00-22:00""], ""Sun"": [""10:00-22:00""]}",7.0,84.0,7.0,4.0,47.0,English,26.0,17.0,8.0,0.0,0.0,1.0,4.0,4.0,4.0,,
g187309-d7372496,Kreta Psiloritis II,"[""Europe"", ""Germany"", ""Bavaria"", ""Upper Bavaria"", ""Munich""]",Germany,Bavaria,Upper Bavaria,Munich,"Sandstr. 45, 80335 Munich, Bavaria Germany",48.1504,11.55709,Unclaimed,,#965 of 2846 Restaurants in Munich,#1053 of 3608 places to eat in Munich,"Mid-range, European, Greek, Vegetarian Friendly",€€-€€€,,"Lunch, Dinner","Greek, European",Vegetarian Friendly,,Y,N,N,,,,,4.5,28.0,English,13.0,9.0,2.0,2.0,0.0,0.0,4.5,4.5,4.0,,
g187309-d7374544,Restaurant Ebert,"[""Europe"", ""Germany"", ""Bavaria"", ""Upper Bavaria"", ""Munich""]",Germany,Bavaria,Upper Bavaria,Munich,"Regerplatz 3, 81541 Munich, Bavaria Germany",48.1241,11.587669,Claimed,"Michelin 2020 for The Michelin Plate: Good cooking, Michelin 2020 for Simple restaurant",#80 of 2846 Restaurants in Munich,#89 of 3608 places to eat in Munich,"Fine Dining, European, Contemporary, Central European",€€€€,€15-€60,,"European, Contemporary, Central European",Vegetarian Friendly,,Y,N,N,"{""Mon"": [], ""Tue"": [], ""Wed"": [], ""Thu"": [""17:00-20:00""], ""Fri"": [""17:00-20:00""], ""Sat"": [""17:00-20:00""], ""Sun"": []}",3.0,9.0,3.0,5.0,103.0,English,13.0,10.0,1.0,2.0,0.0,0.0,5.0,5.0,4.5,,
g187309-d7376067,Bistro Fohn,"[""Europe"", ""Germany"", ""Bavaria"", ""Upper Bavaria"", ""Munich""]",Germany,Bavaria,Upper Bavaria,Munich,"Rosenkavalierplatz 12, 81925 Munich, Bavaria Germany",48.151085,11.620436,Unclaimed,Certificate of Excellence 2017,#877 of 2846 Restaurants in Munich,#952 of 3608 places to eat in Munich,"Mid-range, Italian, European, Vegetarian Friendly",€€-€€€,,"Dinner, Lunch","Italian, European",Vegetarian Friendly,,Y,N,N,,,,,4.0,42.0,English,13.0,5.0,7.0,1.0,0.0,0.0,4.0,4.5,4.0,,
g187309-d7378440,Belvivere,"[""Europe"", ""Germany"", ""Bavaria"", ""Upper Bavaria"", ""Munich""]",Germany,Bavaria,Upper Bavaria,Munich,"Milchstr. 10, 81667 Munich, Bavaria Germany",48.13114,11.59669,Claimed,,#1323 of 2846 Restaurants in Munich,#1461 of 3608 places to eat in Munich,"Mid-range, Italian, Pizza, Mediterranean",€€-€€€,€5-€20,,"Italian, Mediterranean, European, Pizza",Vegetarian Friendly,,Y,N,N,"{""Mon"": [""17:30-00:00""], ""Tue"": [""17:30-00:00""], ""Wed"": [""17:30-00:00""], ""Thu"": [""17:30-00:00""], ""Fri"": [""17:30-00:00""], ""Sat"": [""17:30-00:00""], ""Sun"": [""17:30-00:00""]}",7.0,45.5,7.0,4.0,40.0,English,9.0,4.0,3.0,1.0,0.0,1.0,4.0,4.0,3.5,,
g187309-d7383820,Gasthaus Zum Maibaum,"[""Europe"", ""Germany"", ""Bavaria"", ""Upper Bavaria"", ""Munich""]",Germany,Bavaria,Upper Bavaria,Munich,"Georg-Wopfner-Str. 17, 80939 Munich, Bavaria Germany",48.19117,11.612461,Unclaimed,,#729 of 2846 Restaurants in Munich,#781 of 3608 places to eat in Munich,"Cheap Eats, German, European, Croatian",€,,"Dinner, Lunch","German, European, Croatian",Vegetarian Friendly,,Y,N,N,,,,,4.5,48.0,English,3.0,1.0,0.0,0.0,1.0,1.0,4.0,4.0,4.5,,
